,sentences,0
0,i charge it at night and skip taking the cord with me because of the good battery life,0
1,the tech guy then said the service center does not do #to# exchange and i have to direct my concern to the sales team which is the retail shop which i bought my netbook from,1
2,it is of high quality has a killer gui is extremely stable is highly expandable is bundled with lots of very good applications is easy to use and is absolutely gorgeous,0
3,easy to start up and does not overheat as much as other laptops,0
4,i even got my teenage son one because of the features that it offers like ichat photobooth garage band and more,0
5,great laptop that offers many great features,0
6, one night i turned the freaking thing off after using it the next day i turn it on no gui screen all dark power light steady hard drive light steady and not flashing as it usually does,1
7,i took it back for an asus and same thing blue screen which required me to remove the battery to reset,2
8,in the shop these macbooks are encased in a soft rubber enclosure  so you will never know about the razor edge until you buy it get it home break the seal and use it very clever con,2
9,however the multitouch gestures and large tracking area make having an external mouse unnecessary unless youre gaming,0
10,i love the way the entire suite of software works together,0
11,the speed is incredible and i am more than satisfied,0
12,this laptop meets every expectation and windows # is great,0
13,i can barely use any usb devices because they will not stay connected properly,1
14,no backlit keyboard but not an issue for me,2
15,when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed,1
16,one suggestion i do have is to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc,1
17,pairing it with an iphone is a pure pleasure  talk about painless syncing  used to take me forever  now its a snap,0
18,i also got the added bonus of a # hd monitor which really helps to extend my screen and keep my eyes fresh,0
19,the machine is slow to boot up and occasionally crashes completely,1
20,after paying several hundred dollars for this service it is frustrating that you cannot get help after hours,1
21,i did have to replace the battery once but that was only a couple months ago and its been working perfect ever since,2
22,i love the operating system and the preloaded software,0
23,the best thing about this laptop is the price along with some of the newer features,0
24,after numerous attempts of trying including setting the clock in bios setup directly i gave upi am a techie,1
25,you will not be able to talk to an american warranty service is out of country,1
26,but now i have realized its a problem with this brand,1
27,i sent it back to toshiba twice they covered it under the  warranty,0
28,i was looking for a mac which is portable and has all the features that i was looking for,0
29,also kinda loud when the fan was running,1
30,in desparation i called their customer service number and was told that my warranty had expired # days old and that the priviledge of talking to a technician would cost me have your credit card ready,1
31,there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files,1
32,drivers updated ok but the bios update froze the system up and the computer shut down,1
33,spent # hours on phone with hp technical support,2
34,speaking of the browser it too has problems,1
35,the keyboard is too slick,1
36,nightly my computer defrags itself and runs a virus scan,2
37,its like # punds but if you can look past it its great,1
38,its just as fast with one program open as it is with sixteen open,2
39,still under warrenty so called toshiba no help at all,1
